state,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1.0,11.974781921857282,22.257600304557275,22.32746200055091,21.382627642946307,17.659085251596707,23.045132280899573,21.63564367955933,23.967859366578036,22.563081426833108,23.522009351618863,21.542545618430516,26.721222548729784,22.96449559026552,22.570184055688305,22.72715849813951,22.323842881678704,24.63819569248104,25.008335443551413
1.0,13.866862936849156,23.81647139282562,19.786580594190067,20.514079771729563,21.16026880859728,18.24675980347325,23.264211126054008,23.079047380819283,22.417102720143827,22.143025625038412,25.10985600700286,23.74241091001238,21.178151096870057,25.91378027651626,22.42761251451452,22.50389769538394,22.92002082969097,24.853088280062952
1.0,12.058090086683894,22.93979757348037,21.974368481495077,23.67181422486396,20.072056612402093,19.40599662780077,21.752648530810973,22.35543102647427,24.353079370959527,21.74258476935719,22.125292407652108,23.454627312493127,20.812708998069628,23.21973453713334,20.88909620092512,23.10792395411249,22.48590557061225,21.4111428517954
1.0,12.927095145970837,24.34407520436215,22.447774190965863,18.37325360386644,21.367511244263643,20.72786173083173,21.721189456221012,22.537715925343637,23.52363656459177,20.941238386307287,20.922298143951824,24.079102851949884,20.03981719920906,22.554537661861428,22.852922961505435,20.34264662949496,25.66616167186758,27.276970015465032
1.0,10.832813302773143,22.33812018379445,21.99134532304285,20.308395965045293,21.57973424502145,22.836806409763746,21.56831383935403,21.58763806449493,19.515941661332928,22.6740508508868,19.7178347358496,21.54177065402936,23.155090788707685,25.35620559517564,22.63954528468601,19.074855379449787,21.25203184224067,25.14695922880579
1.0,11.249541376996952,22.23448076340777,23.567352292887303,22.31247944175539,22.38760203342044,19.301413834488606,23.21285737294987,25.494067815555606,20.71430231023816,19.830736331339004,20.802950068964364,22.245554450534147,23.287159692804156,21.951170457818485,20.66038052568419,22.22542895629042,21.895569487463383,23.02671708251632
1.0,13.96353966421509,23.22997637871088,21.436230745436745,23.31637064201589,18.936754117908805,21.72202991114756,23.25352629276652,21.204404144463275,21.919721184943995,21.56636264596096,24.4152711842633,22.34611709821639,21.14931191201922,19.651147839313797,21.77866188812768,25.198211397893385,26.014037575811503,19.51697051846009
1.0,12.272544732123086,22.01653240275373,22.063050481840424,20.079139990001764,21.51484506545517,19.19755692775856,20.12194446493698,19.18926072958049,18.889126646319163,20.659665850877108,22.688960622631765,24.544245763551636,23.227447901593628,20.960843980031377,23.999639143086128,21.837776968525333,23.57081957140055,25.08045201220243
1.0,12.826327437530482,23.660783499997454,21.420044201678376,23.598423035153555,21.60028931337843,20.468497422604862,21.5616275096739,24.45081822425503,21.122942258295204,24.356321562678517,21.62900159643421,24.548853436979115,21.127989647965464,22.714941054405266,24.895839671328517,22.02953303801916,24.704242288271256,23.136124523640063
1.0,12.434010578170357,23.413787341693865,21.694293521873707,20.434562224588035,19.49500512561773,24.919086810543497,21.8478253193892,20.624179486676667,23.71470202848524,22.4669910050298,21.846677659698464,22.088615605916804,21.24790043881713,21.99303521263789,21.006815277993542,22.99108379294673,24.18336873527276,26.370313694767745
